EG,Calculated Mass (t/GWe-yr),Analysis Example Bin Data,Metric Data,Reasons for Changing  Analysis Example Bin Data
EG01,21.92,E,E,
EG02,9.22,D,D,
EG03,147.57,F,F,
EG04,3.99,C,C,
EG05,11.41,D,D,
EG06,9.86,D,A,"EG06 would have given similar metric data result as 
EG08 if similar modeling assumptions had been used 
in its Analysis Example."
EG07,31.97,E,A,"EG07 would have given similar metric data result as 
EG08 if an FFH instead of ADS and similar modeling 
assumptions had been used in its Analysis Example."
EG08,1.62,A,A,
EG09,2.24,B,B,
EG10,10.84,D,D,
EG11,4.54,C,C,
EG12,7.27,D,D,
EG13,3.42,C,C,
EG14,8.34,D,D,
EG15,2.11,B,B,
EG16,1.52,A,A,
EG17,3.37,C,C,
EG18,6.95,D,D,
EG19,2.59,B,B,
EG20,2.61,B,B,
EG21,1.46,A,A,
EG22,1.39,A,A,
EG23,1.31,A,A,
EG24,1.34,A,A,
EG25,1.51,A,A,
EG26,1.25,A,A,
EG27,2.25,B,B,
EG28,1.58,A,A,
EG29,1.45,A,A,
EG30,1.3,A,A,
EG31,1.37,A,A,
EG32,1.32,A,A,
EG33,1.59,A,A,
EG34,1.5,A,A,
EG35,1.42,A,A,
EG36,1.39,A,A,
EG37,1.33,A,A,
EG38,1.79,B,B,
EG39,1.4,A,A,
EG40,1.47,A,A,
