EG,Calculated Mass (t/GWe-yr),Analysis Example Bin Data,Metric Data,Reasons for Changing Analysis Example Bin Data
EG01,0.0,A,A,
EG02,0.0,A,A,
EG03,0.0,A,A,
EG04,0.0,A,A,
EG05,4.65,B,B,
EG06,9.88,B,A,"EG06 would have given similar metric data result as 
EG08 if similar modeling assumptions had been used 
in its Analysis Example."
EG07,0.0,A,A,
EG08,1.62,A,A,
EG09,0.0,A,A,
EG10,10.86,B,B,
EG11,2.05,A,A,
EG12,0.0,A,A,
EG13,0.0,A,A,
EG14,0.0,A,A,
EG15,0.0,A,A,
EG16,0.0,A,A,
EG17,1.88,A,A,
EG18,3.42,A,A,
EG19,0.0,A,A,
EG20,0.0,A,A,
EG21,0.0,A,A,
EG22,0.0,A,A,
EG23,0.0,A,A,
EG24,0.0,A,A,
EG25,0.85,A,A,
EG26,1.25,A,A,
EG27,0.45,A,A,
EG28,1.68,A,A,
EG29,0.0,A,A,
EG30,0.0,A,A,
EG31,0.0,A,A,
EG32,0.0,A,A,
EG33,0.0,A,A,
EG34,0.0,A,A,
EG35,0.0,A,A,
EG36,0.0,A,A,
EG37,0.43,A,A,
EG38,1.93,A,A,
EG39,0.75,A,A,
EG40,1.51,A,A,
