,fuel_cycle_type,reactor_type,set_conclusion,pareto_optimal
EG01,once-through,PWR,Not promising,True
EG02,once-through,HTGR,Not promising,True
EG03,once-through,HWR,Not promising,True
EG04,once-through,SFR,Less promising,True
EG05,once-through,HTGR,Not promising,True
EG06,once-through,FFH,Potentially promising,True
EG07,once-through,ADS,Potentially promising,False
EG08,once-through,FFH,Potentially promising,True
EG09,limited-recycle,SFR,Potentially promising,True
EG10,limited-recycle,MSR,Less promising,True
EG11,limited-recycle,SFR,Not promising,False
EG12,limited-recycle,HWR,Not promising,True
EG13,limited-recycle,PWR,Not promising,True
EG14,limited-recycle,SFR,Less promising,True
EG15,limited-recycle,SFR,Not promising,True
EG16,limited-recycle,ADS,Not promising,False
EG17,limited-recycle,PWR,Not promising,True
EG18,limited-recycle,PWR,Not promising,True
EG19,continuous-recycle,HWR,Not promising,True
EG20,continuous-recycle,HWR,Not promising,True
EG21,continuous-recycle,PWR,Not promising,True
EG22,continuous-recycle,PWR,Not promising,True
EG23,continuous-recycle,SFR,Most promising,True
EG24,continuous-recycle,SFR,Most promising,True
EG25,continuous-recycle,PWR,Not promising,True
EG26,continuous-recycle,MSR,Potentially promising,True
EG27,continuous-recycle,SFR,Not promising,False
EG28,continuous-recycle,SFR,Potentially promising,True
EG29,continuous-recycle,SFR,Most promising,True
EG30,continuous-recycle,SFR,Most promising,True
EG31,continuous-recycle,SFR,Not promising,True
EG32,continuous-recycle,SFR,Not promising,True
EG33,continuous-recycle,ADS,Potentially promising,False
EG34,continuous-recycle,ADS,Potentially promising,False
EG35,continuous-recycle,ADS,Not promising,False
EG36,continuous-recycle,ADS,Not promising,True
EG37,continuous-recycle,SFR,Potentially promising,True
EG38,continuous-recycle,SFR,Potentially promising,True
EG39,continuous-recycle,ADS,Not promising,False
EG40,continuous-recycle,ADS,Potentially promising,True
